StatusSendyet
ViBLA
//No.	mist1	mist2	FAN	rhythmDrive	rhythmStop	StopWeightg	StopTimemin	intervalms	waittimems
1	100	0	90	1	0	1000	3	1000	10000
測定回数	測定時刻	重量g	経過時間s	重量差分g
0	2021/05/20 13:13:26	5762.7	0.9913923	0.1	
1	2021/05/20 13:13:27	5762.6	1.9917791	0.2	
2	2021/05/20 13:13:28	5762.5	2.9861661	0.3	
3	2021/05/20 13:13:29	5762.4	3.9935452	0.4	
4	2021/05/20 13:13:30	5762.3	4.9889318	0.5	
5	2021/05/20 13:13:31	5762.2	5.9923137	0.6	
6	2021/05/20 13:13:32	5762.1	6.9877006	0.7	
7	2021/05/20 13:13:33	5762.0	7.9920815	0.8	
8	2021/05/20 13:13:34	5761.9	8.9864688	0.9	
9	2021/05/20 13:13:35	5761.8	9.9888511	1.0	
10	2021/05/20 13:13:36	5761.7	10.9942334	1.1	
11	2021/05/20 13:13:37	5761.7	11.9876196	1.1	
12	2021/05/20 13:13:38	5761.5	12.994999	1.3	
13	2021/05/20 13:13:39	5761.5	13.9883878	1.3	
14	2021/05/20 13:13:40	5761.4	14.9867717	1.4	
15	2021/05/20 13:13:41	5761.3	15.9921588	1.5	
16	2021/05/20 13:13:42	5761.2	16.9875333	1.6	
17	2021/05/20 13:13:43	5761.1	17.9889219	1.7	
18	2021/05/20 13:13:44	5761.1	18.9963012	1.7	
19	2021/05/20 13:13:45	5761.0	19.9876903	1.8	
20	2021/05/20 13:13:46	5760.9	20.9900728	1.9	
21	2021/05/20 13:13:47	5760.8	21.9934547	2.0	
22	2021/05/20 13:13:48	5760.7	22.9918394	2.1	
23	2021/05/20 13:13:49	5760.6	23.9892248	2.2	
24	2021/05/20 13:13:50	5760.5	24.9896086	2.3	
25	2021/05/20 13:13:51	5760.4	25.989992	2.4	
26	2021/05/20 13:13:52	5760.3	26.9953739	2.5	
27	2021/05/20 13:13:53	5760.3	27.989761	2.5	
28	2021/05/20 13:13:54	5760.2	28.9921424	2.6	
29	2021/05/20 13:13:55	5760.2	29.9865296	2.6	
30	2021/05/20 13:13:56	5760.0	30.9959076	2.8	
31	2021/05/20 13:13:57	5759.9	31.9942935	2.9	
32	2021/05/20 13:13:58	5759.9	32.9876806	2.9	
33	2021/05/20 13:13:59	5759.8	33.99506	3.0	
34	2021/05/20 13:14:00	5759.7	34.9874482	3.1	
35	2021/05/20 13:14:01	5759.6	35.9918333	3.2	
36	2021/05/20 13:14:02	5759.5	36.9912204	3.3	
37	2021/05/20 13:14:03	5759.4	37.9935961	3.4	
38	2021/05/20 13:14:04	5759.3	38.9879834	3.5	
39	2021/05/20 13:14:05	5759.3	39.9863681	3.5	
40	2021/05/20 13:14:06	5759.2	40.992748	3.6	
41	2021/05/20 13:14:07	5759.1	41.9881358	3.7	
42	2021/05/20 13:14:08	5759.0	42.9935163	3.8	
43	2021/05/20 13:14:09	5758.9	43.9919009	3.9	
44	2021/05/20 13:14:10	5758.8	44.9872868	4.0	
45	2021/05/20 13:14:11	5758.7	45.9876705	4.1	
46	2021/05/20 13:14:12	5758.7	46.988054	4.1	
47	2021/05/20 13:14:13	5758.5	47.9954284	4.3	
48	2021/05/20 13:14:14	5758.5	48.9868224	4.3	
49	2021/05/20 13:14:15	5758.4	49.9872061	4.4	
50	2021/05/20 13:14:16	5758.3	50.9915872	4.5	
51	2021/05/20 13:14:17	5758.2	51.9889697	4.6	
52	2021/05/20 13:14:18	5758.1	52.99436	4.7	
53	2021/05/20 13:14:19	5758.0	53.9867418	4.8	
54	2021/05/20 13:14:20	5757.9	54.9881258	4.9	
55	2021/05/20 13:14:21	5757.8	55.9895077	5.0	
56	2021/05/20 13:14:22	5757.7	56.9878935	5.1	
57	2021/05/20 13:14:23	5757.7	57.9882762	5.1	
58	2021/05/20 13:14:24	5757.6	58.9886599	5.2	
59	2021/05/20 13:14:25	5757.5	59.9870447	5.3	
60	2021/05/20 13:14:26	5757.4	60.9894272	5.4	
61	2021/05/20 13:14:27	5757.3	61.9908082	5.5	
62	2021/05/20 13:14:28	5757.2	62.9911936	5.6	
63	2021/05/20 13:14:29	5757.2	63.9965705	5.6	
64	2021/05/20 13:14:30	5757.1	64.986964	5.7	
65	2021/05/20 13:14:31	5757.0	65.9953426	5.8	
66	2021/05/20 13:14:32	5756.9	66.9927281	5.9	
67	2021/05/20 13:14:33	5756.8	67.9891141	6.0	
68	2021/05/20 13:14:34	5756.7	68.9894927	6.1	
69	2021/05/20 13:14:35	5756.6	69.9878829	6.2	
70	2021/05/20 13:14:36	5756.5	70.9932632	6.3	
71	2021/05/20 13:14:37	5756.4	71.9906487	6.4	
72	2021/05/20 13:14:38	5756.4	72.9880344	6.4	
73	2021/05/20 13:14:39	5756.3	73.9934163	6.5	
74	2021/05/20 13:14:40	5756.2	74.9898007	6.6	
75	2021/05/20 13:14:41	5756.1	75.9901843	6.7	
76	2021/05/20 13:14:42	5756.0	76.9885691	6.8	
77	2021/05/20 13:14:43	5755.9	77.9929505	6.9	
78	2021/05/20 13:14:44	5755.8	78.9863392	7.0	
79	2021/05/20 13:14:45	5755.7	79.9887206	7.1	
80	2021/05/20 13:14:46	5755.7	80.9931028	7.1	
81	2021/05/20 13:14:47	5755.6	81.996484	7.2	
82	2021/05/20 13:14:48	5755.5	82.9938694	7.3	
83	2021/05/20 13:14:49	5755.4	83.9902553	7.4	
84	2021/05/20 13:14:50	5755.3	84.9876405	7.5	
85	2021/05/20 13:14:51	5755.2	85.9880259	7.6	
86	2021/05/20 13:14:52	5755.1	86.9874072	7.7	
87	2021/05/20 13:14:53	5755.1	87.9877922	7.7	
88	2021/05/20 13:14:54	5755.0	88.9891751	7.8	
89	2021/05/20 13:14:55	5754.9	89.9885597	7.9	
90	2021/05/20 13:14:56	5754.8	90.9919412	8.0	
91	2021/05/20 13:14:57	5754.7	91.993324	8.1	
92	2021/05/20 13:14:58	5754.6	92.9877113	8.2	
93	2021/05/20 13:14:59	5754.6	93.9950906	8.2	
94	2021/05/20 13:15:00	5754.5	94.9874795	8.3	
95	2021/05/20 13:15:01	5754.4	95.9898615	8.4	
96	2021/05/20 13:15:02	5754.3	96.9962416	8.5	
97	2021/05/20 13:15:03	5754.2	97.9886305	8.6	
98	2021/05/20 13:15:04	5754.1	98.9920128	8.7	
99	2021/05/20 13:15:05	5754.0	99.986399	8.8	
100	2021/05/20 13:15:06	5753.9	100.9957772	8.9	
101	2021/05/20 13:15:07	5753.8	101.9931626	9.0	
102	2021/05/20 13:15:08	5753.8	102.9945465	9.0	
103	2021/05/20 13:15:09	5753.6	103.9959305	9.2	
104	2021/05/20 13:15:10	5753.5	104.9873178	9.3	
105	2021/05/20 13:15:11	5753.5	105.9926982	9.3	
106	2021/05/20 13:15:12	5753.4	106.9910842	9.4	
107	2021/05/20 13:15:13	5753.2	107.9934658	9.6	
108	2021/05/20 13:15:14	5753.2	108.993849	9.6	
109	2021/05/20 13:15:15	5753.1	109.9862376	9.7	
110	2021/05/20 13:15:16	5753.0	110.9926175	9.8	
111	2021/05/20 13:15:17	5752.9	111.9880042	9.9	
112	2021/05/20 13:15:18	5752.8	112.9933847	10.0	
113	2021/05/20 13:15:19	5752.7	113.9867727	10.1	
114	2021/05/20 13:15:20	5752.7	114.9891552	10.1	
115	2021/05/20 13:15:21	5752.6	115.9935372	10.2	
116	2021/05/20 13:15:22	5752.5	116.9869244	10.3	
117	2021/05/20 13:15:23	5752.4	117.9933041	10.4	
118	2021/05/20 13:15:24	5752.3	118.9966873	10.5	
119	2021/05/20 13:15:25	5752.2	119.988076	10.6	
120	2021/05/20 13:15:26	5752.1	120.9864542	10.7	
121	2021/05/20 13:15:27	5752.0	121.991851	10.8	
122	2021/05/20 13:15:28	5751.9	122.9942227	10.9	
123	2021/05/20 13:15:29	5751.9	123.9886118	10.9	
124	2021/05/20 13:15:30	5751.7	124.9869889	11.1	
125	2021/05/20 13:15:31	5751.7	125.9863822	11.1	
126	2021/05/20 13:15:32	5751.6	126.9897609	11.2	
127	2021/05/20 13:15:33	5751.5	127.9871464	11.3	
128	2021/05/20 13:15:34	5751.4	128.9945258	11.4	
129	2021/05/20 13:15:35	5751.3	129.9879146	11.5	
130	2021/05/20 13:15:36	5751.2	130.9892966	11.6	
131	2021/05/20 13:15:37	5751.2	131.9876815	11.6	
132	2021/05/20 13:15:38	5751.1	132.9950607	11.7	
133	2021/05/20 13:15:39	5751.0	133.9894482	11.8	
134	2021/05/20 13:15:40	5750.9	134.9898318	11.9	
135	2021/05/20 13:15:41	5750.9	135.9952123	11.9	
136	2021/05/20 13:15:42	5750.8	136.9886003	12.0	
137	2021/05/20 13:15:43	5750.6	137.99498	12.2	
138	2021/05/20 13:15:44	5750.6	138.9873685	12.2	
139	2021/05/20 13:15:45	5750.5	139.989751	12.3	
140	2021/05/20 13:15:46	5750.4	140.9881386	12.4	
141	2021/05/20 13:15:47	5750.3	141.991518	12.5	
142	2021/05/20 13:15:48	5750.2	142.9869041	12.6	
143	2021/05/20 13:15:49	5750.1	143.9942836	12.7	
144	2021/05/20 13:15:50	5750.0	144.9896702	12.8	
145	2021/05/20 13:15:51	5750.0	145.9910532	12.8	
146	2021/05/20 13:15:52	5749.8	146.9864413	13.0	
147	2021/05/20 13:15:53	5749.7	147.9928198	13.1	
148	2021/05/20 13:15:54	5749.7	148.9872072	13.1	
149	2021/05/20 13:15:55	5749.6	149.9875941	13.2	
150	2021/05/20 13:15:56	5749.5	150.9929715	13.3	
151	2021/05/20 13:15:57	5749.4	151.9863592	13.4	
152	2021/05/20 13:15:58	5749.4	152.9917399	13.4	
153	2021/05/20 13:15:59	5749.3	153.9901253	13.5	
154	2021/05/20 13:16:00	5749.1	154.9885093	13.7	
155	2021/05/20 13:16:01	5749.0	155.987896	13.8	
156	2021/05/20 13:16:02	5749.0	156.9882772	13.8	
157	2021/05/20 13:16:03	5748.9	157.9946572	13.9	
158	2021/05/20 13:16:04	5748.8	158.9880499	14.0	
159	2021/05/20 13:16:05	5748.7	159.9874293	14.1	
160	2021/05/20 13:16:06	5748.6	160.9918109	14.2	
161	2021/05/20 13:16:07	5748.5	161.9921941	14.3	
162	2021/05/20 13:16:08	5748.5	162.9875825	14.3	
163	2021/05/20 13:16:09	5748.4	163.9949602	14.4	
164	2021/05/20 13:16:10	5748.3	164.9883482	14.5	
165	2021/05/20 13:16:11	5748.2	165.9897311	14.6	
166	2021/05/20 13:16:12	5748.1	166.991114	14.7	
167	2021/05/20 13:16:13	5748.0	167.9904983	14.8	
168	2021/05/20 13:16:14	5747.9	168.9918819	14.9	
169	2021/05/20 13:16:15	5747.8	169.9892674	15.0	
170	2021/05/20 13:16:16	5747.7	170.9866531	15.1	
171	2021/05/20 13:16:17	5747.7	171.990032	15.1	
172	2021/05/20 13:16:18	5747.6	172.9874194	15.2	
173	2021/05/20 13:16:19	5747.5	173.9908012	15.3	
174	2021/05/20 13:16:20	5747.4	174.9871873	15.4	
175	2021/05/20 13:16:21	5747.3	175.99057	15.5	
176	2021/05/20 13:16:22	5747.2	176.9899534	15.6	
177	2021/05/20 13:16:23	5747.1	177.9883385	15.7	
178	2021/05/20 13:16:24	5747.0	178.9917208	15.8	
179	2021/05/20 13:16:25	5746.9	179.9881059	15.9	
180	2021/05/20 13:16:26	5746.8	180.9914876	16.0	
2	100	0	90	1	0	1000	3	1000	0
測定回数	測定時刻	重量g	経過時間s	重量差分g
0	2021/05/20 13:16:28	5746.8	1.0073837	0.0	
1	2021/05/20 13:16:29	5746.6	1.9977732	0.2	
2	2021/05/20 13:16:30	5746.5	2.9981581	0.3	
3	2021/05/20 13:16:31	5746.5	4.0045369	0.3	
4	2021/05/20 13:16:32	5746.4	5.0059152	0.4	
5	2021/05/20 13:16:33	5746.3	6.0062992	0.5	
6	2021/05/20 13:16:34	5746.2	7.0076864	0.6	
7	2021/05/20 13:16:35	5746.1	8.0050722	0.7	
8	2021/05/20 13:16:36	5746.1	9.0044561	0.7	
9	2021/05/20 13:16:37	5746.0	9.9988433	0.8	
10	2021/05/20 13:16:38	5745.8	10.9992269	1.0	
11	2021/05/20 13:16:39	5745.8	12.00061	1.0	
12	2021/05/20 13:16:40	5745.7	13.0049911	1.1	
13	2021/05/20 13:16:41	5745.6	14.0033759	1.2	
14	2021/05/20 13:16:42	5745.5	14.9977635	1.3	
15	2021/05/20 13:16:43	5745.4	16.0001456	1.4	
16	2021/05/20 13:16:44	5745.3	17.0055262	1.5	
17	2021/05/20 13:16:45	5745.3	17.9999081	1.5	
18	2021/05/20 13:16:46	5745.1	19.0052941	1.7	
19	2021/05/20 13:16:47	5745.1	20.0016801	1.7	
20	2021/05/20 13:16:48	5745.0	21.0060625	1.8	
21	2021/05/20 13:16:49	5744.9	21.9974504	1.9	
22	2021/05/20 13:16:50	5744.8	23.0028309	2.0	
23	2021/05/20 13:16:51	5744.7	23.9982176	2.1	
24	2021/05/20 13:16:52	5744.6	25.0015993	2.2	
25	2021/05/20 13:16:53	5744.5	26.0059815	2.3	
26	2021/05/20 13:16:54	5744.5	27.0013672	2.3	
27	2021/05/20 13:16:55	5744.4	27.9987479	2.4	
28	2021/05/20 13:16:56	5744.3	29.0051327	2.5	
29	2021/05/20 13:16:57	5744.2	30.0045169	2.6	
30	2021/05/20 13:16:58	5744.1	30.9989041	2.7	
31	2021/05/20 13:16:59	5744.0	32.0022859	2.8	
32	2021/05/20 13:17:00	5743.9	32.9976665	2.9	
33	2021/05/20 13:17:01	5743.9	34.006052	2.9	
34	2021/05/20 13:17:02	5743.8	35.0074342	3.0	
35	2021/05/20 13:17:03	5743.7	36.0068185	3.1	
36	2021/05/20 13:17:04	5743.6	37.004204	3.2	
37	2021/05/20 13:17:05	5743.5	37.9985913	3.3	
38	2021/05/20 13:17:06	5743.4	39.0029724	3.4	
39	2021/05/20 13:17:07	5743.4	40.0053549	3.4	
40	2021/05/20 13:17:08	5743.2	41.005739	3.6	
41	2021/05/20 13:17:09	5743.2	42.0031238	3.6	
42	2021/05/20 13:17:10	5743.1	43.007505	3.7	
43	2021/05/20 13:17:11	5743.0	44.0048906	3.8	
44	2021/05/20 13:17:12	5742.9	44.9982784	3.9	
45	2021/05/20 13:17:13	5742.8	46.0006612	4.0	
46	2021/05/20 13:17:14	5742.7	47.0000452	4.1	
47	2021/05/20 13:17:15	5742.7	48.0054263	4.1	
48	2021/05/20 13:17:16	5742.6	49.0018116	4.2	
49	2021/05/20 13:17:17	5742.4	49.9971983	4.4	
50	2021/05/20 13:17:18	5742.4	51.0025818	4.4	
51	2021/05/20 13:17:19	5742.3	51.9979655	4.5	
52	2021/05/20 13:17:20	5742.2	53.0043454	4.6	
53	2021/05/20 13:17:21	5742.1	54.0057284	4.7	
54	2021/05/20 13:17:22	5742.0	55.0061122	4.8	
55	2021/05/20 13:17:23	5741.9	56.0054964	4.9	
56	2021/05/20 13:17:24	5741.9	57.0038828	4.9	
57	2021/05/20 13:17:25	5741.7	58.0042647	5.1	
58	2021/05/20 13:17:26	5741.7	58.9986523	5.1	
59	2021/05/20 13:17:27	5741.6	60.0040325	5.2	
60	2021/05/20 13:17:28	5741.5	61.0064149	5.3	
61	2021/05/20 13:17:29	5741.4	62.0008023	5.4	
62	2021/05/20 13:17:30	5741.3	62.9971885	5.5	
63	2021/05/20 13:17:31	5741.2	63.997572	5.6	
64	2021/05/20 13:17:32	5741.1	64.9979555	5.7	
65	2021/05/20 13:17:33	5741.1	65.9973376	5.7	
66	2021/05/20 13:17:34	5740.9	67.001722	5.9	
67	2021/05/20 13:17:35	5740.9	68.0071016	5.9	
68	2021/05/20 13:17:36	5740.8	69.0064869	6.0	
69	2021/05/20 13:17:37	5740.7	70.0078686	6.1	
70	2021/05/20 13:17:38	5740.6	71.0072529	6.2	
71	2021/05/20 13:17:39	5740.5	72.0046385	6.3	
72	2021/05/20 13:17:40	5740.4	72.997027	6.4	
73	2021/05/20 13:17:41	5740.3	74.0024084	6.5	
74	2021/05/20 13:17:42	5740.2	74.9997929	6.6	
75	2021/05/20 13:17:43	5740.1	76.0071713	6.7	
76	2021/05/20 13:17:44	5740.1	77.0025556	6.7	
77	2021/05/20 13:17:45	5740.0	78.0059406	6.8	
78	2021/05/20 13:17:46	5739.9	79.0043255	6.9	
79	2021/05/20 13:17:47	5739.8	79.9987138	7.0	
80	2021/05/20 13:17:48	5739.7	81.0050957	7.1	
81	2021/05/20 13:17:49	5739.6	82.0064764	7.2	
82	2021/05/20 13:17:50	5739.6	83.0048606	7.2	
83	2021/05/20 13:17:51	5739.4	84.0022463	7.4	
84	2021/05/20 13:17:52	5739.4	85.0066273	7.4	
85	2021/05/20 13:17:53	5739.3	86.0000151	7.5	
86	2021/05/20 13:17:54	5739.2	87.003397	7.6	
87	2021/05/20 13:17:55	5739.1	88.0037805	7.7	
88	2021/05/20 13:17:56	5739.0	88.9991698	7.8	
89	2021/05/20 13:17:57	5738.9	90.0025498	7.9	
90	2021/05/20 13:17:58	5738.9	91.0069301	7.9	
91	2021/05/20 13:17:59	5738.8	92.0033162	8.0	
92	2021/05/20 13:18:00	5738.6	93.0026939	8.2	
93	2021/05/20 13:18:01	5738.6	93.998087	8.2	
94	2021/05/20 13:18:02	5738.5	95.0034676	8.3	
95	2021/05/20 13:18:03	5738.4	95.9978549	8.4	
96	2021/05/20 13:18:04	5738.3	97.002236	8.5	
97	2021/05/20 13:18:05	5738.2	98.0076166	8.6	
98	2021/05/20 13:18:06	5738.1	98.9970071	8.7	
99	2021/05/20 13:18:07	5738.1	100.0033828	8.7	
100	2021/05/20 13:18:08	5737.9	101.0037705	8.9	
101	2021/05/20 13:18:09	5737.8	102.0021504	9.0	
102	2021/05/20 13:18:10	5737.8	102.9995408	9.0	
103	2021/05/20 13:18:11	5737.7	104.0049214	9.1	
104	2021/05/20 13:18:12	5737.6	105.0073037	9.2	
105	2021/05/20 13:18:13	5737.5	106.0076873	9.3	
106	2021/05/20 13:18:14	5737.4	106.9980772	9.4	
107	2021/05/20 13:18:15	5737.3	108.0034576	9.5	
108	2021/05/20 13:18:16	5737.3	109.002842	9.5	
109	2021/05/20 13:18:17	5737.1	110.0052242	9.7	
110	2021/05/20 13:18:18	5737.0	110.9976129	9.8	
111	2021/05/20 13:18:19	5737.0	111.9979964	9.8	
112	2021/05/20 13:18:20	5736.9	113.0073745	9.9	
113	2021/05/20 13:18:21	5736.8	113.9977648	10.0	
114	2021/05/20 13:18:22	5736.7	114.9981452	10.1	
115	2021/05/20 13:18:23	5736.6	115.9995308	10.2	
116	2021/05/20 13:18:24	5736.5	116.9999145	10.3	
117	2021/05/20 13:18:25	5736.4	118.0042957	10.4	
118	2021/05/20 13:18:26	5736.4	119.0036807	10.4	
119	2021/05/20 13:18:27	5736.3	120.0070616	10.5	
120	2021/05/20 13:18:28	5736.2	121.0024516	10.6	
121	2021/05/20 13:18:29	5736.1	121.9978334	10.7	
122	2021/05/20 13:18:30	5736.0	123.0002175	10.8	
123	2021/05/20 13:18:31	5735.9	124.0065973	10.9	
124	2021/05/20 13:18:32	5735.8	125.0059815	11.0	
125	2021/05/20 13:18:33	5735.8	126.006367	11.0	
126	2021/05/20 13:18:34	5735.6	126.9977544	11.2	
127	2021/05/20 13:18:35	5735.5	128.0001377	11.3	
128	2021/05/20 13:18:36	5735.5	129.0055222	11.3	
129	2021/05/20 13:18:37	5735.4	130.0049014	11.4	
130	2021/05/20 13:18:38	5735.3	131.0062846	11.5	
131	2021/05/20 13:18:39	5735.2	132.0006679	11.6	
132	2021/05/20 13:18:40	5735.1	132.9980575	11.7	
133	2021/05/20 13:18:41	5735.0	134.0024384	11.8	
134	2021/05/20 13:18:42	5735.0	135.0028222	11.8	
135	2021/05/20 13:18:43	5734.9	135.999208	11.9	
136	2021/05/20 13:18:44	5734.8	137.0035892	12.0	
137	2021/05/20 13:18:45	5734.7	138.006971	12.1	
138	2021/05/20 13:18:46	5734.6	139.0023594	12.2	
139	2021/05/20 13:18:47	5734.5	140.0067348	12.3	
140	2021/05/20 13:18:48	5734.4	141.0071299	12.4	
141	2021/05/20 13:18:49	5734.3	141.9975121	12.5	
142	2021/05/20 13:18:50	5734.2	142.9978957	12.6	
143	2021/05/20 13:18:51	5734.1	144.0042757	12.7	
144	2021/05/20 13:18:52	5734.0	144.997665	12.8	
145	2021/05/20 13:18:53	5734.0	146.0050503	12.8	
146	2021/05/20 13:18:54	5733.9	146.9974317	12.9	
147	2021/05/20 13:18:55	5733.8	148.0078089	13.0	
148	2021/05/20 13:18:56	5733.7	149.0001979	13.1	
149	2021/05/20 13:18:57	5733.6	150.0055779	13.2	
150	2021/05/20 13:18:58	5733.5	150.9999663	13.3	
151	2021/05/20 13:18:59	5733.4	152.0003494	13.4	
152	2021/05/20 13:19:00	5733.3	153.0047241	13.5	
153	2021/05/20 13:19:01	5733.3	154.0071127	13.5	
154	2021/05/20 13:19:02	5733.2	155.0074961	13.6	
155	2021/05/20 13:19:03	5733.1	156.0008842	13.7	
156	2021/05/20 13:19:04	5733.0	157.0042657	13.8	
157	2021/05/20 13:19:05	5732.9	158.0006527	13.9	
158	2021/05/20 13:19:06	5732.9	159.0010365	13.9	
159	2021/05/20 13:19:07	5732.8	160.0064201	14.0	
160	2021/05/20 13:19:08	5732.6	161.0077991	14.2	
161	2021/05/20 13:19:09	5732.6	161.9971925	14.2	
162	2021/05/20 13:19:10	5732.5	163.0045686	14.3	
163	2021/05/20 13:19:11	5732.4	164.0049523	14.4	
164	2021/05/20 13:19:12	5732.3	165.0023377	14.5	
165	2021/05/20 13:19:13	5732.2	165.9977243	14.6	
166	2021/05/20 13:19:14	5732.1	167.0021065	14.7	
167	2021/05/20 13:19:15	5732.0	167.9974922	14.8	
168	2021/05/20 13:19:16	5731.9	168.9978758	14.9	
169	2021/05/20 13:19:17	5731.8	169.9982602	15.0	
170	2021/05/20 13:19:18	5731.7	170.998643	15.1	
171	2021/05/20 13:19:19	5731.6	172.0030242	15.2	
172	2021/05/20 13:19:20	5731.5	173.00041	15.3	
173	2021/05/20 13:19:21	5731.4	174.0027936	15.4	
174	2021/05/20 13:19:22	5731.4	175.0071746	15.4	
175	2021/05/20 13:19:23	5731.3	176.0065584	15.5	
176	2021/05/20 13:19:24	5731.2	177.0039429	15.6	
177	2021/05/20 13:19:25	5731.1	178.0043266	15.7	
178	2021/05/20 13:19:26	5731.0	179.0007136	15.8	
179	2021/05/20 13:19:27	5730.9	180.0070925	15.9	
3	100	0	90	1	0	1000	3	1000	0
測定回数	測定時刻	重量g	経過時間s	重量差分g
0	2021/05/20 13:19:28	5730.8	0.992392	0.1	
1	2021/05/20 13:19:29	5730.7	1.9917694	0.2	
2	2021/05/20 13:19:30	5730.6	2.9961574	0.3	
3	2021/05/20 13:19:31	5730.5	3.9945356	0.4	
4	2021/05/20 13:19:32	5730.4	4.9899289	0.5	
5	2021/05/20 13:19:33	5730.4	5.9903125	0.5	
6	2021/05/20 13:19:34	5730.3	6.9926948	0.6	
7	2021/05/20 13:19:35	5730.2	7.9930736	0.7	
8	2021/05/20 13:19:36	5730.1	8.9994589	0.8	
9	2021/05/20 13:19:37	5730.0	9.9938456	0.9	
10	2021/05/20 13:19:38	5729.9	10.9962281	1.0	
11	2021/05/20 13:19:39	5729.8	11.9896159	1.1	
12	2021/05/20 13:19:40	5729.7	12.9969952	1.2	
13	2021/05/20 13:19:41	5729.6	13.9913828	1.3	
14	2021/05/20 13:19:42	5729.5	14.9917663	1.4	
15	2021/05/20 13:19:43	5729.5	15.9981461	1.4	
16	2021/05/20 13:19:44	5729.4	16.9905346	1.5	
17	2021/05/20 13:19:45	5729.3	17.992917	1.6	
18	2021/05/20 13:19:46	5729.2	18.9913018	1.7	
19	2021/05/20 13:19:47	5729.1	19.9996806	1.8	
20	2021/05/20 13:19:48	5729.0	20.9920635	1.9	
21	2021/05/20 13:19:49	5728.9	21.9914535	2.0	
22	2021/05/20 13:19:50	5728.8	22.9948429	2.1	
23	2021/05/20 13:19:51	5728.7	23.9902219	2.2	
24	2021/05/20 13:19:52	5728.6	24.9946029	2.3	
25	2021/05/20 13:19:53	5728.6	25.9949866	2.3	
26	2021/05/20 13:19:54	5728.4	26.9913736	2.5	
27	2021/05/20 13:19:55	5728.3	27.9977525	2.6	
28	2021/05/20 13:19:56	5728.3	28.9901414	2.6	
29	2021/05/20 13:19:57	5728.2	29.9975207	2.7	
30	2021/05/20 13:19:58	5728.1	30.9949059	2.8	
31	2021/05/20 13:19:59	5728.0	31.9902926	2.9	
32	2021/05/20 13:20:00	5727.9	32.9956701	3.0	
33	2021/05/20 13:20:01	5727.8	34.0000543	3.1	
34	2021/05/20 13:20:02	5727.8	34.9924432	3.1	
35	2021/05/20 13:20:03	5727.6	35.9928292	3.3	
36	2021/05/20 13:20:04	5727.6	36.9892124	3.3	
37	2021/05/20 13:20:05	5727.5	37.9965917	3.4	
38	2021/05/20 13:20:06	5727.4	38.9949779	3.5	
39	2021/05/20 13:20:07	5727.3	39.9953602	3.6	
40	2021/05/20 13:20:08	5727.2	40.9977442	3.7	
41	2021/05/20 13:20:09	5727.1	41.9931302	3.8	
42	2021/05/20 13:20:10	5727.0	42.9985098	3.9	
43	2021/05/20 13:20:11	5726.9	43.9938966	4.0	
44	2021/05/20 13:20:12	5726.8	44.9992771	4.1	
45	2021/05/20 13:20:13	5726.7	45.9946637	4.2	
46	2021/05/20 13:20:14	5726.7	46.9920492	4.2	
47	2021/05/20 13:20:15	5726.6	47.9984246	4.3	
48	2021/05/20 13:20:16	5726.5	48.9938159	4.4	
49	2021/05/20 13:20:17	5726.4	49.9892025	4.5	
50	2021/05/20 13:20:18	5726.3	50.9935837	4.6	
51	2021/05/20 13:20:19	5726.2	51.9919685	4.7	
52	2021/05/20 13:20:20	5726.1	52.9943508	4.8	
53	2021/05/20 13:20:21	5726.0	53.9947296	4.9	
54	2021/05/20 13:20:22	5726.0	54.9901212	4.9	
55	2021/05/20 13:20:23	5725.9	55.9965011	5.0	
56	2021/05/20 13:20:24	5725.8	56.989889	5.1	
57	2021/05/20 13:20:25	5725.7	57.9932715	5.2	
58	2021/05/20 13:20:26	5725.6	58.9906563	5.3	
59	2021/05/20 13:20:27	5725.5	59.9950374	5.4	
60	2021/05/20 13:20:28	5725.4	60.9914238	5.5	
61	2021/05/20 13:20:29	5725.2	61.9898083	5.7	
62	2021/05/20 13:20:30	5725.2	62.998188	5.7	
63	2021/05/20 13:20:31	5725.2	63.9995699	5.7	
64	2021/05/20 13:20:32	5725.1	64.9969554	5.8	
65	2021/05/20 13:20:33	5724.9	65.9943428	6.0	
66	2021/05/20 13:20:34	5724.9	66.9917263	6.0	
67	2021/05/20 13:20:35	5724.8	67.9961076	6.1	
68	2021/05/20 13:20:36	5724.7	68.9994892	6.2	
69	2021/05/20 13:20:37	5724.6	69.9968747	6.3	
70	2021/05/20 13:20:38	5724.5	70.9912622	6.4	
71	2021/05/20 13:20:39	5724.4	71.9916403	6.5	
72	2021/05/20 13:20:40	5724.3	72.9960286	6.6	
73	2021/05/20 13:20:41	5724.2	73.9894107	6.7	
74	2021/05/20 13:20:42	5724.1	74.9957946	6.8	
75	2021/05/20 13:20:43	5724.1	75.9961782	6.8	
76	2021/05/20 13:20:44	5724.0	76.9925643	6.9	
77	2021/05/20 13:20:45	5723.9	77.9979448	7.0	
78	2021/05/20 13:20:46	5723.8	78.9983284	7.1	
79	2021/05/20 13:20:47	5723.7	79.9947145	7.2	
80	2021/05/20 13:20:48	5723.6	81.000095	7.3	
81	2021/05/20 13:20:49	5723.5	81.9924836	7.4	
82	2021/05/20 13:20:50	5723.4	82.9988635	7.5	
83	2021/05/20 13:20:51	5723.3	83.9922514	7.6	
84	2021/05/20 13:20:52	5723.3	84.9976329	7.6	
